game,outcome,end_reason,n_moves,loss,moves
1,B,value_resign,15,0.000000,g2g3 h7h5 d2d3 b7b5 b1a3 e7e6 b2b4 g7g6 e2e3 b8c6 c1d2 c6d4 f2f3 a7a6 d1c1
2,W,material_resign,77,0.000000,b1a3 g7g5 c2c4 h7h5 d2d4 b8c6 g1h3 b7b5 d1b3 f7f6 h3f4 h8h7 e1d2 c6d4 d2e1 g5f4 b3d1 h7h8 e1d2 d7d5 d2e1 e7e5 f2f3 h8h7 c1d2 g8e7 b2b3 h7h8 e2e3 c8g4 c4c5 a7a6 f1b5 d4b5 a3b5 a8b8 e3e4 d8c8 b5d6 e8d8 e1e2 c8b7 a2a3 d5e4 a1a2 b7b6 d1e1 f8h6 e1f1 b8c8 d6f5 b6b5 e2d1 h8h7 f3g4 e7f5 d2e1 d8e7 f1g1 e7f8 g1f1 f8e7 e1f2 f5g3 d1e1 g3e2 f2g1 e7f8 a2c2 e4e3 f1e2 c8b8 e2b5 b8c8 b5a6 f8e8 b3b4
3,W,material_resign,13,0.000000,b1a3 e7e6 h2h4 d8f6 d2d3 f6h6 h1h2 b7b5 c1h6 e8e7 b2b3 f7f6 c2c3
4,B,value_resign,51,0.000000,b2b4 e7e5 c2c3 f7f5 d1a4 b7b5 g1f3 f8b4 h1g1 d7d5 g2g4 b8c6 c3c4 h7h6 h2h4 c6d4 f1g2 h6h5 g2f1 g7g6 f1g2 a8b8 g4h5 g8e7 a4b5 b8b5 c4d5 h8h7 e1d1 c8b7 d2d3 b7a8 c1f4 d4c6 g1h1 c6a5 h1g1 g6g5 d1c2 a8b7 f3d4 a7a6 d4c6 h7f7 b1d2 d8d7 c6b8 d7d5 a1b1 e8d8 g1f1
5,W,value_resign,20,0.000000,h2h4 b7b5 b2b3 g7g5 b1a3 h7h5 c2c3 h8h7 g1f3 b5b4 a3b1 e7e5 a2a3 f7f6 f3g5 f8e7 h1g1 f6f5 f2f3 c8b7
6,B,value_resign,39,0.000000,e2e3 g8h6 g1f3 h6f5 f1d3 g7g5 b2b3 f5g3 c2c3 g3e4 d1c2 h7h5 f3e5 e4f6 e3e4 b8c6 e5f7 c6b4 h1g1 b4d3 e1e2 b7b5 c1b2 d7d6 f7h8 d3b2 e2e3 c8d7 b1a3 c7c6 d2d4 b2a4 c3c4 f8g7 c2c3 a4c3 f2f3 d7h3 h8f7
7,W,material_resign,129,0.000000,b1c3 f7f6 d2d3 f6f5 g1f3 g7g5 g2g3 b8c6 f3e5 h7h6 f2f3 e7e6 e2e4 h6h5 d3d4 a8b8 e1d2 d8f6 g3g4 c6a5 e5d3 e8f7 h2h3 b7b5 a1b1 f8g7 f1e2 h8h7 h1h2 f6d4 h2f2 g7f8 d2e1 h7h8 c1d2 h8h7 b1a1 d7d6 d2c1 h7h8 b2b3 h8h7 c1d2 d4g7 f3f4 g8h6 a1b1 a7a6 d2c1 g7g8 b1a1 h7h8 c1d2 f8g7 d2c1 h8h7 f2f3 g7f6 c1b2 b8a8 d1b1 g8g7 b2c1 f7g8 e2d1 g8f8 f3g3 c7c5 c1d2 f6c3 d1e2 g7h8 e4f5 f8e8 e1f2 h8d4 f2f3 e6e5 d2e1 e8d7 e1f2 d7d8 f2e1 d4f2 e1f2 d8e8 b1c1 c8b7 f3e3 e8f7 e2d1 f7f8 g4h5 f8e8 g3g4 b7g2 e3e2 b5b4 h3h4 a8d8 a2a4 h7f7 a1b1 d8d7 f2e1 e8f8 e1d2 f8e7 b1b2 e7d8 d2e1 d8e8 c1d2 e8f8 d2c1 f8g8 e1f2 g8g7 c1e3 g7g8 e3e4 g2f3 e2f1 d7e7 g4g5 g8f8 f1g1 a5b7 g1f1
8,B,material_resign,82,0.000000,f2f4 e7e5 g1f3 d7d5 b1c3 b8c6 f3e5 c6e7 e5f7 d5d4 a2a3 g7g5 f7d6 c7d6 b2b4 g5f4 e2e4 g8f6 g2g3 h8g8 f1e2 b7b5 c3b5 a7a6 e1f1 c8b7 h1g1 b7c6 g1g2 d8c8 c2c3 a8b8 c3c4 h7h6 b5c7 c8c7 f1e1 g8h8 a1b1 c7a7 e1f1 c6a4 g2f2 b8c8 f1e1 c8d8 g3g4 h6h5 f2f4 f6h7 d1a4 e7c6 e1d1 h5h4 b1b2 f8h6 c4c5 h6g5 d1e1 a7d7 e2f1 d7g4 f4f8 h7f8 f1g2 h8h7 e1f1 e8d7 f1e1 d8e8 e1f1 g4f4 f1e1 e8d8 h2h3 f8g6 a4c6 d7c6 b2c2 d8c8 g2f3 h7h8
9,B,value_resign,13,0.000000,g1f3 e7e6 h2h3 e8e7 h1h2 c7c6 e2e4 f7f6 c2c4 d7d6 e1e2 f6f5 g2g3
10,B,value_resign,37,0.000000,g1f3 f7f6 c2c3 g7g5 f3h4 g5h4 d1a4 h7h5 d2d3 c7c5 d3d4 b8c6 e2e4 c6d4 c1f4 d4b3 e1d1 a8b8 h2h3 f8g7 f1e2 b7b5 h1g1 e8f8 g1e1 e7e5 e2h5 c8b7 d1e2 d8c8 e2f1 h8h7 c3c4 a7a6 f4e3 c8d8 a4b4
