game,outcome,end_reason,n_moves,loss,moves
1,W,material_resign,63,0.000000,h2h4 c7c6 b2b3 b7b6 d2d4 h7h6 e1d2 c6c5 b1c3 d8c7 e2e3 c7h2 e3e4 h6h5 c3b1 h2g1 h1h3 b8c6 d4d5 g7g5 d5c6 g1h1 h3c3 h1g2 c3g3 e7e5 f1b5 e8e7 g3g5 c5c4 g5g7 d7c6 d1h5 a7a6 g7g5 a8b8 g5g8 f7f5 g8g6 c8e6 d2d1 g2g3 c1a3 e7d8 e4f5 b8c8 a3c1 d8e7 a2a3 g3c3 h5h6 c8a8 g6g5 a8c8 g5g1 h8h6 c1h6 c3d2 h6d2 e6f5 d1e1 c8b8 g1g6
2,W,material_resign,55,0.000000,g2g4 f7f6 b1a3 a7a5 a3b1 e7e5 f1g2 f6f5 g4f5 f8c5 g2d5 a5a4 e2e4 c5f8 d5c4 f8b4 c4b3 a8a7 f2f4 b7b6 b3c4 a7b7 b1c3 b8a6 c3d5 e5f4 h2h3 e8f7 d5c3 f7e8 c3e2 b7b8 f5f6 b4c5 e2g3 h7h5 h1h2 c5f2 h2f2 c8b7 f2f3 g7g6 c4a6 a4a3 f3f4 e8f7 b2b3 b6b5 f4g4 b7a8 c1a3 d7d5 g4g5 h5h4 d1e2
3,B,material_resign,34,0.000000,g2g4 g7g5 a2a4 f8g7 g1h3 b8c6 b1c3 c6d4 e2e4 d4b3 f1e2 g7c3 e1g1 g8f6 g1g2 h7h5 f2f4 g5f4 h3g1 f6h7 a1b1 d7d5 f1f3 c3e5 f3e3 h7f8 d1e1 f8g6 e2c4 f4e3 g2f1 a8b8 g1f3 b3a1
4,W,material_resign,53,0.000000,f2f3 a7a6 f3f4 c7c6 g2g4 a6a5 b1a3 f7f6 g4g5 b7b6 f1h3 a8a6 d2d4 f6g5 h3f1 d8c7 f1h3 g5f4 d4d5 a6a8 h3e6 a5a4 g1f3 a8a5 a3b1 g7g6 e6g8 h8g8 c1f4 a5c5 e2e4 c5c2 h2h3 c6c5 f4g5 c7d6 b2b4 e7e6 d1d2 c2c1 e1f2 h7h5 d2e2 f8e7 g5c1 e7d8 f2g2 d6h2 f3h2 b6b5 e2b5 d8g5 c1g5
5,W,material_resign,67,0.000000,d2d3 g7g5 g1h3 b8c6 e2e3 c6e5 e1e2 e5f3 g2g4 d7d6 h1g1 c8e6 h3f4 f8g7 a2a3 g7c3 h2h4 f3h2 d1e1 e6b3 a1a2 g8f6 f1h3 e8f8 f4g6 f8g7 h3f1 h7g6 g1g3 f6d7 g3g1 h2g4 b2c3 h8h6 a3a4 e7e5 b1d2 h6h7 h4g5 d7b6 d2f3 a7a5 g1g3 b3c4 f1h3 b6d7 h3f1 g4h2 f1g2 h2g4 g3h3 b7b6 f3d2 g4f6 h3h1 d8e8 g5f6 g7f6 g2f1 f6g7 h1h7 g7f6 d2c4 c7c6 c4b2 a8c8 a2a1
6,W,material_resign,89,0.000000,b2b3 d7d6 h2h3 c8h3 g2g3 h3f5 d2d4 b7b5 c1h6 f5h3 f1h3 a7a5 a2a3 b8a6 e2e4 d8b8 f2f4 c7c6 h3g2 f7f6 d1c1 d6d5 h1h5 g7g5 g1f3 e7e5 c1e3 b8d8 f4g5 d5e4 f3h4 f8d6 e3f3 e8f7 g2h1 e5d4 h1g2 d8e8 g2f1 e8e6 f1e2 a8d8 h4g6 e6h3 g3g4 h3g2 f3g3 f6f5 h6f8 g8e7 g3d6 g2h3 g6h4 e7g6 e1f2 h8f8 b1d2 h3g4 e2b5 g6e7 d2f1 e4e3 f2e1 d8b8 d6h6 e3e2 b5d3 b8b7 d3f5 f7g8 g5g6 f8a8 g6g7 g4g2 f1e3 a5a4 f5g6 a8d8 h5b5 a6c7 e1d2 g2g5 h4f3 d8d6 b5g5 e7f5 b3b4 f5g3 e3f5
7,W,material_resign,73,0.000000,h2h3 g7g5 b2b4 g8f6 g2g4 b8a6 c2c4 d7d5 c4d5 b7b5 a2a3 c8d7 d5d6 d7c8 d1b3 h8g8 e2e4 c8d7 f1b5 a6b8 f2f4 b8c6 b3e3 f8g7 e3b3 g8h8 b3d1 c7d6 d1a4 d8b6 a4a7 g7f8 d2d3 b6a5 b5c4 d7c8 f4f5 f6d7 b1c3 c6e5 a7f2 f7f6 c3b5 a5c7 f2c2 a8a6 c2b3 e7e6 h1h2 d7c5 b3c3 e8f7 e1d1 c5b7 d1e2 a6c6 h2f2 c7e7 a3a4 f7e8 c4d5 e5f7 a1b1 f8g7 c1a3 e8d8 c3c6 e7d7 c6b7 h7h5 b7b6 d8e8 b6d6
8,W,checkmate,9,0.000000,h2h3 f7f6 a2a4 a7a5 e2e3 g7g5 d2d4 a8a7 d1h5
9,B,material_resign,66,8.747662,g2g4 f7f6 b2b4 b8a6 e2e4 e7e6 a2a4 a8b8 h2h3 e8f7 f1g2 a6c5 d2d3 g8h6 e1f1 g7g6 b4c5 d8e8 g1e2 b7b5 f1g1 h6g8 b1d2 f7e7 a4a5 b5b4 e2f4 c8b7 d3d4 e8c8 h3h4 b4b3 f4e6 f8h6 g2f3 b7a6 h4h5 b8b6 g1h2 a6e2 e6f4 b6a6 f4g6 h7g6 g4g5 e7e6 d2f1 g6h5 g5h6 h5h4 h2g1 e2d1 f1g3 e6e7 c1g5 d7d5 c5d6 e7d6 f3h5 d1c2 h5f3 h4g3 g5f6 g3f2 g1h2 c8b7
10,W,material_resign,63,8.360172,g1h3 f7f6 h1g1 e8f7 a2a3 g7g6 d2d4 c7c5 d4c5 f8h6 b2b4 f7f8 d1d6 h6g5 a3a4 a7a5 g1h1 a8a7 d6a6 a5b4 c1a3 b7b5 a6a7 d8c7 e2e3 d7d6 c5d6 c7a5 f1e2 c8a6 e2d1 b8d7 g2g4 b4b3 e1e2 b5a4 e2f3 a5c5 h1g1 c5b5 a3c1 g5h4 a7c7 d7e5 f3e4 h4f2 c1a3 e7d6 b1c3 g6g5 g1g2 f2g1 c7a5 b5c5 a1a2 h7h5 a5a6 c5c6 a6c6 e5c4 c3a4 g1h2 h3g5
